hidad,euan,tristan,richard,allen,jasper,kian,treestan,tomas,kushal,,,AVI,lena
36,78,51,27,16,45,78,33,35,15,,,64,10
3,85,81,66,27,51,6,81,15,61,,,18,44
18,47,14,45,33,77,11,85,24,10,,,45,45
61,54,47,80,77,33,18,47,81,33,,,61,66
10,44,45,66,71,80,27,85,83,2,2,,44,71
64,18,45,61,44,33,80,40,27,56,56,,33,80
27,43,10,10,16,27,16,41,47,44,44,,80,27
14,78,41,85,83,45,26,47,47,47,47,,40,85
30,85,36,54,54,66,80,33,78,71,71,,,
66,16,15,40,24,36,36,35,83,26,26,,,
61,43,85,41,47,5,5,66,51,85,85,,,
64,80,15,47,54,86,24,15,77,36,36,,,
71,11,26,16,26,33,33,26,71,82,82,,,
14,16,43,64,86,10,6,44,4,80,80,,,
,27,18,56,24,80,5,11,56,47,47,,,
