Card List,,,,,,,,,,
,Card ID,Speed Limit,Lane Width,Minimum Gap,Full Braking Before Impact,Mean Arrival Rate,Road Type,Day or Night,Weather,AV
1,1,30,2.75,2,0.5,750,Two way,Day,Clear,100.00
2,2,30,3,1.5,0.5,1100,Two way,Night,Clear,100.00
3,3,30,3,1,1,750,One way,Day,Clear,100.00
4,4,30,2.5,1.5,2,750,One way,Day,Clear,100.00
5,5,40,2.75,1.5,2,750,One way,Day,Clear,100.00
6,6,30,2.5,1.5,2,750,Two way,Night,Snowy,100.00
7,7,30,3,1.5,0.5,1100,Two way with median,Day,Snowy,100.00
8,8,50,2.5,1,2,1100,Two way,Day,Clear,100.00
9,9,50,2.75,1.5,0.5,1100,Two way with median,Day,Snowy,100.00
10,10,40,3,1.5,1,530,Two way with median,Day,Clear,100.00
11,11,30,2.75,1.5,1,530,One way,Day,Snowy,100.00
12,12,50,2.5,1,2,1100,One way,Day,Snowy,100.00
13,13,40,2.75,2,1,1100,One way,Night,Clear,100.00
14,14,40,2.5,2,2,530,Two way,Day,Clear,100.00
15,15,30,2.5,1,0.5,530,Two way with median,Night,Clear,100.00
16,16,40,3,1.5,1,530,One way,Day,Snowy,100.00
17,17,40,2.5,1.5,0.5,1100,Two way,Night,Clear,100.00
18,18,40,2.5,1,1,750,One way,Day,Clear,100.00
19,19,30,3,1.5,0.5,1100,One way,Day,Clear,100.00
20,20,50,3,1.5,2,750,Two way,Night,Snowy,100.00
21,21,50,3,2,1,1100,One way,Night,Clear,100.00
22,22,50,3,2,1,1100,Two way,Day,Snowy,100.00
23,23,50,3,1,0.5,530,Two way with median,Night,Clear,100.00
24,24,30,3,2,2,530,Two way with median,Day,Snowy,100.00
25,25,40,3,1,2,1100,One way,Day,Snowy,100.00
26,26,40,2.5,2,2,530,One way,Night,Clear,100.00
27,27,30,2.5,1,0.5,530,Two way,Day,Snowy,100.00
28,28,50,2.75,2,2,530,Two way,Day,Clear,100.00
29,29,50,2.5,1.5,1,530,Two way,Night,Clear,100.00
30,30,30,3,2,2,530,One way,Night,Clear,100.00
31,31,50,2.75,1.5,0.5,1100,One way,Day,Clear,100.00
32,32,50,2.5,1,2,1100,Two way with median,Night,Clear,100.00
33,33,30,2.5,1.5,2,750,Two way with median,Day,Clear,100.00
34,34,50,3,1,0.5,530,Two way,Day,Snowy,100.00
35,35,30,2.75,1.5,1,530,Two way with median,Day,Clear,100.00
36,36,40,3,2,0.5,750,Two way with median,Day,Clear,100.00
37,37,40,2.5,1.5,0.5,1100,One way,Day,Clear,100.00
38,38,50,2.75,2,2,530,Two way with median,Day,Snowy,100.00
39,39,50,2.75,1,1,750,One way,Day,Clear,100.00
40,40,30,2.75,2,0.5,750,Two way with median,Day,Clear,100.00
41,41,40,3,2,0.5,750,One way,Night,Snowy,100.00
42,42,50,2.5,2,0.5,750,Two way with median,Day,Clear,100.00
43,43,30,2.5,1,0.5,530,One way,Day,Clear,100.00
44,44,30,2.75,1.5,1,530,Two way,Night,Clear,100.00
45,45,40,3,2,0.5,750,Two way,Day,Clear,100.00
46,46,50,2.5,2,0.5,750,One way,Night,Snowy,100.00
47,47,30,3,2,2,530,Two way,Day,Clear,100.00
48,48,30,2.75,1,2,1100,Two way with median,Night,Clear,100.00
49,49,50,2.75,2,2,530,One way,Night,Clear,100.00
50,50,30,2.5,2,1,1100,Two way,Day,Snowy,100.00
51,51,40,2.75,1.5,2,750,Two way,Night,Snowy,100.00
52,52,50,3,1,0.5,530,One way,Day,Clear,100.00
53,53,50,2.75,1,1,750,Two way,Day,Clear,100.00
54,54,40,2.75,1,0.5,530,Two way with median,Night,Clear,100.00
55,55,50,2.5,1.5,1,530,Two way with median,Day,Clear,100.00
56,56,40,2.75,1,0.5,530,One way,Day,Clear,100.00
57,57,40,3,1,2,1100,Two way,Day,Clear,100.00
58,58,30,2.5,2,1,1100,One way,Night,Clear,100.00
59,59,40,3,1,2,1100,Two way with median,Night,Clear,100.00
60,60,50,2.5,1.5,1,530,One way,Day,Snowy,100.00
61,61,40,3,1.5,1,530,Two way,Night,Clear,100.00
62,62,40,2.5,1,1,750,Two way,Day,Clear,100.00
63,63,30,2.75,1,2,1100,Two way,Day,Clear,100.00
64,64,30,2.75,2,0.5,750,One way,Night,Snowy,100.00
65,65,40,2.5,1.5,0.5,1100,Two way with median,Day,Snowy,100.00
66,66,40,2.5,2,2,530,Two way with median,Day,Snowy,100.00
67,67,40,2.75,2,1,1100,Two way with median,Day,Clear,100.00
68,68,50,3,1.5,2,750,One way,Day,Clear,100.00
69,69,50,2.75,1,1,750,Two way with median,Night,Snowy,100.00
70,70,40,2.75,2,1,1100,Two way,Day,Snowy,100.00
71,71,40,2.5,1,1,750,Two way with median,Night,Snowy,100.00
72,72,50,3,2,1,1100,Two way with median,Day,Clear,100.00
73,73,50,3,1.5,2,750,Two way with median,Day,Clear,100.00
74,74,30,2.5,2,1,1100,Two way with median,Day,Clear,100.00
75,75,50,2.5,2,0.5,750,Two way,Day,Clear,100.00
76,76,30,2.75,1,2,1100,One way,Day,Snowy,100.00
77,77,40,2.75,1,0.5,530,Two way,Day,Snowy,100.00
78,78,40,2.75,1.5,2,750,Two way with median,Day,Clear,100.00
79,79,50,2.75,1.5,0.5,1100,Two way,Night,Clear,100.00
80,80,30,3,1,1,750,Two way,Day,Clear,100.00
81,81,30,3,1,1,750,Two way with median,Night,Snowy,100.00
82,82,40,3,2,-1.00,530,One way,Night,Clear,0.00
83,83,40,3,2,-1.00,750,Two way,Night,Snowy,0.00
84,84,40,3,2,-1.00,1100,One way,Day,Clear,50.00
85,85,40,3,2,-1.00,530,One way,Night,Clear,25.00
86,86,40,3,2,-1.00,750,Two way with median,Day,Snowy,75.00
