round_epochs,val_loss,val_main_output_loss,val_sec_output_loss,val_main_output_score,val_sec_output_score,loss,main_output_loss,sec_output_loss,main_output_score,sec_output_score,Dlayers,Llayers,batch_size,drpout,nodes
1,0.09614112025476507,0.07579648494720459,0.10140477865934372,-0.07579648494720459,-0.10140476375818253,0.24374928332561496,0.20050064,0.20820239,-0.20050062,-0.2082024,1,1,32,0,10
1,0.008825130703577136,0.005710081197321415,0.016009975224733353,-0.0057100700214505196,-0.016009993851184845,0.12591033148929942,0.099724285,0.12325427,-0.09972427,-0.123254254,1,1,32,0,50
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,32,0,100
1,0.1111916554271033,0.09314491599798203,0.09078864008188248,-0.09314490109682083,-0.09078862518072128,0.24700174218030285,0.20478937,0.20333895,-0.20478936,-0.20333894,1,1,32,0.2,10
1,0.010803029187366196,0.00792712066322565,0.014570691622793674,-0.007927104830741882,-0.014570705592632294,0.11504740454971218,0.091764644,0.109699234,-0.09176461,-0.109699234,1,1,32,0.2,50
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,32,0.2,100
1,0.17947992271390453,0.1416824907064438,0.18915675580501556,-0.14168250560760498,-0.18915675580501556,0.2563423303391436,0.21040985,0.22687115,-0.21040986,-0.22687116,1,1,32,0.5,10
1,0.011143300703716004,0.006288566160947084,0.024589434266090393,-0.006288556382060051,-0.02458943985402584,0.13889528345807994,0.11073314,0.13281585,-0.11073312,-0.13281582,1,1,32,0.5,50
1,0.009446788001163253,0.007878351025283337,0.008082273416221142,-0.007878336124122143,-0.008082255721092224,0.08917881574713998,0.07319301,0.07476499,-0.073192984,-0.07476498,1,1,32,0.5,100
1,0.27634984597392465,0.2293202430009842,0.23286943137645721,-0.2293202430009842,-0.23286943137645721,0.2846863830546967,0.23655476,0.23944512,-0.23655474,-0.23944515,1,1,128,0,10
1,0.24699016309332575,0.20310623943805695,0.2169518917798996,-0.20310623943805695,-0.2169518917798996,0.2768580382104686,0.22922592,0.23321664,-0.22922593,-0.23321664,1,1,128,0,50
1,0.18800819279818698,0.14713914692401886,0.1999325007200241,-0.14713914692401886,-0.1999325007200241,0.2502428922793276,0.20286544,0.22464852,-0.20286544,-0.22464852,1,1,128,0,100
1,0.275546135116811,0.2277628630399704,0.23596207797527313,-0.2277628630399704,-0.23596207797527313,0.2862111181806889,0.23767373,0.2409659,-0.23767373,-0.24096593,1,1,128,0.2,10
1,0.2526419658313766,0.208889439702034,0.21643301844596863,-0.2088894546031952,-0.21643300354480743,0.2805476794425818,0.23282999,0.2336029,-0.23283002,-0.2336029,1,1,128,0.2,50
1,0.1846995417071485,0.14488625526428223,0.1985798329114914,-0.14488625526428223,-0.1985798180103302,0.25219302228171764,0.2047837,0.22466928,-0.2047837,-0.22466928,1,1,128,0.2,100
1,0.2684152802288304,0.2215709388256073,0.231092169880867,-0.2215709686279297,-0.23109214007854462,0.28142911637429713,0.23312865,0.2385772,-0.23312862,-0.23857717,1,1,128,0.5,10
1,0.23654401844717077,0.1935303956270218,0.21412765979766846,-0.1935303956270218,-0.21412765979766846,0.27464251149472574,0.22706418,0.23274863,-0.22706415,-0.23274863,1,1,128,0.5,50
1,0.16286749618263538,0.12694896757602692,0.17623820900917053,-0.12694892287254333,-0.17623817920684814,0.26217621832156923,0.2143376,0.22673085,-0.2143376,-0.22673084,1,1,128,0.5,100
1,0.08393169300081173,0.060066644102334976,0.1183389350771904,-0.06006662920117378,-0.11833890527486801,0.23095606720204548,0.18760355,0.20697859,-0.18760355,-0.20697859,1,2,32,0,10
1,0.010164935659203265,0.007425110787153244,0.013839833438396454,-0.007425088435411453,-0.013839859515428543,0.12586908166785893,0.09768037,0.1335315,-0.09768036,-0.13353147,1,2,32,0,50
1,nan,nan,nan,nan,nan,0.07711363992334412,0.058635786,0.088223375,-0.058635794,-0.08822334,1,2,32,0,100
1,0.12314021567389426,0.09629517793655396,0.13355854153633118,-0.09629517793655396,-0.13355854153633118,0.2495342123708565,0.20342427,0.22330269,-0.20342427,-0.22330272,1,2,32,0.2,10
1,0.05732677104772279,0.02331019937992096,0.17019659280776978,-0.02331019937992096,-0.17019659280776978,0.16092894920985476,0.12073236,0.19498518,-0.120732345,-0.19498517,1,2,32,0.2,50
1,0.009617376098430705,0.007999039255082607,0.008249135687947273,-0.007999022491276264,-0.008249117061495781,0.07890986070412097,0.06376733,0.07123335,-0.0637673,-0.07123334,1,2,32,0.2,100
1,0.13098772752216492,0.10730557888746262,0.11598366498947144,-0.10730555653572083,-0.11598363518714905,0.25200470190682855,0.20887287,0.2118207,-0.20887285,-0.2118207,1,2,32,0.5,10
1,0.05205563637088999,0.02387511543929577,0.14054688811302185,-0.023875119164586067,-0.14054687321186066,0.1651343627048911,0.12871401,0.17551343,-0.12871401,-0.17551342,1,2,32,0.5,50
