round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes,Dtype
100,0.0009853311709995414,-0.0009760296670719981,0.0010931523245138427,-0.001088564982637763,1,32,10,L_3
100,0.010332244316337209,-0.027517838403582573,0.0021385035260940055,-0.002123807091265917,1,32,50,L_3
100,0.0013792388291915315,-0.001362399896606803,0.0014372369856294467,-0.0014274949207901955,1,32,100,L_3
100,0.0008024002500752637,-0.0007952488958835602,0.0008977288408182579,-0.0008919441606849432,1,128,10,L_3
100,0.0008517372893826087,-0.0008142773294821382,0.000964682163406561,-0.0009436844848096371,1,128,50,L_3
100,0.0009004129734696728,-0.0008893821504898369,0.0009999357063403662,-0.0010169626912102103,1,128,100,L_3
100,0.000830134101902488,-0.0008245834615081549,0.0008827083647514669,-0.0008881663088686764,2,32,10,L_3
100,0.0009588780438249139,-0.0009561071638017893,0.0010672679231825957,-0.0010643921559676528,2,32,50,L_3
100,0.0007806228461739575,-0.0007813961710780859,0.0007926090790474747,-0.0007916470058262348,2,32,100,L_3
100,0.000928389309937584,-0.0009196590399369597,0.0010810918563293468,-0.0010649742325767875,2,128,10,L_3
100,0.0016779343693934638,-0.0016551606822758913,0.001559611263252768,-0.0015335320495069027,2,128,50,L_3
100,,,,,2,128,100,L_3
100,0.0008313630852969613,-0.0008259282330982387,0.0008664047359896497,-0.0008571608923375607,3,32,10,L_3
100,0.0007858191321557566,-0.0007904827361926436,0.0007329104100555021,-0.0007283739396370947,3,32,50,L_3
100,,,,,3,32,100,L_3
100,0.0008233292135356486,-0.0008081981795839965,0.0009145048562251924,-0.0009156601154245436,3,128,10,L_3
100,0.001074900786870541,-0.0009956161957234144,0.001071430436291953,-0.0010573973413556814,3,128,50,L_3
100,1.3807742162687897,-1.126379132270813,0.0005552301594984162,-0.0005417848587967455,3,128,100,L_3
100,0.00040367589233143404,-0.00041724630864337087,0.0003406383379765092,-0.0003388154145795852,1,32,10,L_5
100,,,,,1,32,50,L_5
100,2.4604436456946093e+17,-2.3609400866373632e+17,0.00016802926411728288,-0.00016710344061721116,1,32,100,L_5
100,0.0004621558288340653,-0.0005439247470349073,0.00040776320212192353,-0.0004066585679538548,1,128,10,L_5
100,0.00038360263523378076,-0.00044579137465916574,0.0003071236024581106,-0.0003001297009177506,1,128,50,L_5
100,0.0004349342372065046,-0.00047448641271330416,0.0003926467697071336,-0.00041046334081329405,1,128,100,L_5
100,0.0004185596753047401,-0.000436092697782442,0.0003548514499519985,-0.0003549922548700124,2,32,10,L_5
100,0.00043877177596113635,-0.0004489840939640999,0.00035723088614096,-0.00035356878652237356,2,32,50,L_5
100,,,,,2,32,100,L_5
100,0.00044504853038623984,-0.0005224240594543517,0.00039858720059438474,-0.00038931271410547197,2,128,10,L_5
100,,,,,2,128,50,L_5
100,,,,,2,128,100,L_5
100,0.0004378004723060805,-0.0004523368552327156,0.00038412156866861135,-0.00038418511394411325,3,32,10,L_5
100,,,,,3,32,50,L_5
100,0.00044948211425051835,-0.00046342879068106413,0.0003400566388273051,-0.0003364146687090397,3,32,100,L_5
100,0.0004233231346954331,-0.0005081202834844589,0.00037300534238167806,-0.00037874680128879845,3,128,10,L_5
100,0.0004103811285137359,-0.000467873178422451,0.00032351886229902257,-0.0003198801714461297,3,128,50,L_5
100,218670087250.39114,-178352783360.0,0.00026724732863969155,-0.0002657724544405937,3,128,100,L_5
100,0.00010871843786848177,-0.00010635556100169197,0.0001289257497473104,-0.00012837811664212495,1,32,10,L_7
100,,,,,1,32,50,L_7
100,0.00011994764078049421,-0.00011723180068656802,0.0001313641288562575,-0.0001309385261265561,1,32,100,L_7
100,0.00020819885693704602,-0.00018374744104221463,0.00021927172591132548,-0.00021611170086544007,1,128,10,L_7
100,0.0001240783163680431,-0.00011089714098488912,0.00012440199531762463,-0.00012136757140979171,1,128,50,L_7
100,0.00011157721677019842,-0.00010265879973303527,0.0001070152444997244,-0.00010669865878298879,1,128,100,L_7
100,0.00019069389205727497,-0.00018624603399075568,0.00019736964020995889,-0.00019526145479176193,2,32,10,L_7
100,0.00017291915058706962,-0.0001680990244494751,0.00017293241006112545,-0.00017113401554524899,2,32,50,L_7
100,0.0001269819953017672,-0.00012437129043973982,6.426537283936323e-05,-6.447432679124177e-05,2,32,100,L_7
100,0.00021570366204018665,-0.00019117217743769288,0.00022470046000050412,-0.000220491987420246,2,128,10,L_7
100,0.0001268747405778399,-0.00011659739539027214,0.00011221324753536054,-0.00011115780216641724,2,128,50,L_7
100,0.0001735635976805762,-0.0001566302526043728,0.00012185293579140758,-0.00012038735440000892,2,128,100,L_7
100,0.00020130362503954934,-0.00019606199930422008,0.00021224583527609277,-0.00021021149586886168,3,32,10,L_7
100,,,,,3,32,50,L_7
100,,,,,3,32,100,L_7
100,0.00019887898655501695,-0.00016906757082324475,0.00019543157023326347,-0.00020025414414703846,3,128,10,L_7
100,0.00020660382118827656,-0.00017773298895917833,0.0001756891202180461,-0.0001771369279595092,3,128,50,L_7
100,0.00020438627776958788,-0.00017678868607617915,0.00012908932258142157,-0.0001278910058317706,3,128,100,L_7
100,0.0024900424440939912,-0.00248795747756958,0.0022184060083134797,-0.0022183945402503014,1,32,10,T_1_1
100,0.0019002712053057494,-0.0018961320165544748,0.0015648140186756416,-0.0015649368287995458,1,32,50,T_1_1
100,0.0015930048964600105,-0.0015898538986220956,0.0010756586504460058,-0.0010757173877209425,1,32,100,T_1_1
100,0.0023786795621988386,-0.0023800779599696398,0.0022760785538786586,-0.0022731227800250053,1,128,10,T_1_1
