round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes
1,0.0011168881649529683,-0.0011136149987578392,0.0023257041747550026,-0.0023307723,1,32,10
1,0.0005404149263319327,-0.0005448284791782498,0.0018803632292199693,-0.001877128,1,32,50
1,0.00046274270880182353,-0.0004649564507417381,0.0012568964390921667,-0.0012475912,1,32,100
1,0.004118767376075645,-0.004005350172519684,0.007708465528162978,-0.007572992,1,128,10
1,0.0018295421777114673,-0.0018454315140843391,0.0035358683997876853,-0.0034635908,1,128,50
1,0.0014032080664274451,-0.0014143513981252909,0.0032089973083525287,-0.003138671,1,128,100
1,0.0014559039426789088,-0.0014522551791742444,0.0026702899964888105,-0.00265601,2,32,10
1,0.000430090856132672,-0.0004317257844377309,0.0014070824252349957,-0.0013923061,2,32,50
1,0.0004188405116573975,-0.00042071714415214956,0.0009036468812772597,-0.0008954081,2,32,100
1,0.0024741058758820382,-0.0024215742014348507,0.0037898018423521474,-0.0037328918,2,128,10
1,0.0018892759872935856,-0.001859038369730115,0.0026716792540584537,-0.0026356701,2,128,50
1,0.0005654232461412234,-0.0005657047731801867,0.001688522088011432,-0.0016337365,2,128,100
1,0.0005384282453406702,-0.0005408245488069952,0.0018461789460394898,-0.0018269265,3,32,10
1,0.0004333514002976061,-0.0004358364676591009,0.00130863967251113,-0.001313908,3,32,50
1,0.00041488722663451255,-0.00041795428842306137,0.000951037838903191,-0.00095139694,3,32,100
1,0.0021137742051797635,-0.0020738705061376095,0.0026440141520438364,-0.0026523615,3,128,10
1,0.0017654883369296731,-0.0017377790063619614,0.0025386316623601268,-0.002501656,3,128,50
1,0.0007857631395082079,-0.0007752991514280438,0.0019964804156511412,-0.0019655565,3,128,100
