round_epochs,val_loss,val_score,loss,score,Llayers,batch_size,nodes
100,0.0021145478073425657,-0.0021211591083556414,0.0020293189159537764,-0.0020290085,1,32,10
100,0.0013328795853752256,-0.0013383821351453662,0.0010523204794310281,-0.001051829,1,32,50
100,0.0007152409874317816,-0.0007129788282327354,0.0004599841656700144,-0.00045987556,1,32,100
100,0.0022700084621180817,-0.002270424272865057,0.002030188565220224,-0.0020277742,1,128,10
100,0.0017795076490406089,-0.0017764234216883779,0.0014323614662365227,-0.001438024,1,128,50
100,0.001093681075427404,-0.0010932491859421134,0.000901300385498894,-0.0008971118,1,128,100
100,0.0020324837592761926,-0.002040938241407275,0.0017514762806953858,-0.0017530742,2,32,10
100,0.0009327111535874795,-0.0009301723330281675,0.0007041013522710928,-0.0007033932,2,32,50
100,0.0004198214021158314,-0.00042037307866849005,0.00022895880253751311,-0.00022888505,2,32,100
100,0.002191524584862058,-0.0021887512411922216,0.0020384297824819152,-0.0020423396,2,128,10
100,0.001413711262685475,-0.0014133971417322755,0.0011741871391311688,-0.0011687549,2,128,50
100,0.0008869944087337778,-0.000888232490979135,0.0006480843394067365,-0.0006481767,2,128,100
100,0.001836991880675925,-0.0018420414999127388,0.0017149035843902361,-0.0017132714,3,32,10
100,0.0008520536550589701,-0.0008497419185005128,0.0005707030268206284,-0.0005701256,3,32,50
100,0.0004277789851887108,-0.00042664186912588775,0.00026104554066096923,-0.0002616219,3,32,100
100,0.0020704081447596055,-0.002072038361802697,0.0018965528845812823,-0.0018942148,3,128,10
100,0.0012752076662014458,-0.0012722406536340714,0.0010260206070022407,-0.0010211337,3,128,50
100,0.0007683555631493561,-0.0007697962573729455,0.000671479991734676,-0.0006712346,3,128,100
